30	16	0
230	106	0
69	292	0
87	265	0
361	66	0
329	132	0
48	285	0
134	33	0
391	270	0
6	75	0
344	273	0
304	345	0
264	356	0
32	236	0
316	68	0
6	342	0
21	85	0
142	368	0
72	154	0
396	203	1
199	152	0
192	113	0
369	331	0
31	45	0
93	291	1
280	91	0
61	89	0
281	23	0
353	279	0
8	45	0
186	74	0
214	84	0
192	373	0
385	114	0
120	219	1
250	334	0
94	111	0
280	292	0
94	8	0
161	66	0
365	32	0
339	349	0
63	381	0
237	41	0
34	185	1
88	370	0
272	219	0
167	175	0
102	342	0
270	330	1
193	232	0
179	164	0
70	166	0
9	78	0
157	280	1
142	164	0
148	230	0
128	15	0
354	129	0
369	217	0
86	237	0
175	74	0
355	323	0
147	399	0
46	151	1
169	241	0
79	181	0
353	132	0
257	239	0
94	145	1
218	279	0
382	255	0
219	287	0
248	263	0
311	265	1
95	170	0
232	80	0
62	387	0
154	161	0
257	121	1
155	288	0
182	216	0
171	83	0
9	283	0
121	110	1
190	307	0
265	107	0
112	334	0
118	214	0
140	71	0
152	203	0
45	278	0
341	272	0
205	179	0
64	48	0
262	7	0
312	53	0
39	156	0
373	267	0
103	160	0
266	364	0
196	202	0
265	67	0
220	324	0
153	116	0
241	218	0
134	74	0
37	85	0
170	114	0
103	43	1
332	23	0
72	184	0
8	334	0
60	127	0
303	344	0
228	113	0
270	214	0
184	325	0
218	104	0
375	130	0
30	259	0
375	372	0
178	58	0
292	217	0
119	40	1
325	278	0
77	332	0
224	146	0
297	38	0
279	372	0
236	39	0
134	203	0
241	372	0
312	36	0
199	232	1
145	274	0
157	87	0
45	47	0
287	24	0
85	86	1
353	257	0
292	66	0
306	378	0
161	317	0
345	288	0
399	304	0
195	391	0
278	89	0
54	239	0
224	256	1
122	92	0
233	343	0
199	315	0
138	13	0
27	140	1
23	191	0
309	148	0
391	301	0
163	331	0
296	81	1
327	126	0
26	399	0
14	263	0
130	260	0
80	136	1
250	366	0
255	187	0
294	121	0
344	112	0
35	275	0
286	392	0
96	280	0
220	396	0
324	209	0
248	20	0
190	239	0
372	375	0
386	34	0
198	218	0
258	294	1
66	365	0
129	118	0
63	182	0
385	79	0
224	95	0
367	138	0
35	66	0
232	67	0
139	21	0
270	83	0
305	333	0
196	229	0
115	230	0
399	264	0
223	260	0
160	250	0
179	365	0
6	177	0
109	65	0
166	9	0
109	48	0
284	263	0
80	331	0
320	190	0
397	254	0
392	316	0
353	67	0
344	164	0
42	192	0
204	79	0
103	172	0
174	75	0
261	133	0
316	311	0
170	364	0
252	78	0
13	93	0
137	268	0
255	391	0
145	80	0
370	337	0
84	275	0
174	303	0
397	115	0
101	202	0
289	256	0
352	223	0
232	68	0
292	112	0
240	67	0
374	276	0
9	276	0
316	333	0
44	222	0
356	360	0
119	137	0
49	86	0
258	178	0
136	140	0
247	206	0
110	258	0
347	82	0
66	175	0
396	16	0
294	396	0
374	340	0
249	376	0
224	277	0
192	56	0
42	143	0
164	348	0
43	229	0
67	114	0
106	342	0
55	10	0
117	9	0
244	268	0
171	176	0
355	215	0
321	386	0
261	161	0
370	339	0
371	17	0
383	102	0
242	289	0
189	101	0
276	73	0
27	189	0
203	152	0
178	151	0
163	274	0
88	303	0
134	99	0
349	119	0
162	144	0
35	8	0
219	262	0
236	171	0
198	220	0
39	148	0
35	195	0
362	309	0
67	126	0
0	211	0
305	75	0
76	22	0
356	199	0
374	186	0
259	282	0
376	138	0
55	365	0
209	35	0
56	79	0
61	217	0
378	233	0
246	142	0
301	224	0
358	156	0
85	161	0
313	62	0
284	37	0
284	366	0
67	333	0
45	357	0
4	348	0
156	142	0
174	179	0
103	188	0
15	4	0
179	381	0
323	202	0
64	355	0
344	227	0
33	129	0
187	76	0
208	329	0
174	106	0
97	376	0
86	65	0
291	148	0
0	11	0
257	286	0
224	84	0
138	25	0
62	241	0
286	114	0
330	365	0
208	358	0
212	25	0
31	340	0
156	15	0
350	7	0
247	285	0
308	119	0
392	379	0
236	226	0
55	206	0
327	122	0
235	129	0
1	29	0
193	43	0
279	243	0
322	57	0
64	320	0
289	252	0
301	118	0
207	175	0
211	217	0
302	307	0
308	48	0
329	304	0
84	16	0
53	398	0
19	67	0
376	10	0
267	387	0
140	247	0
87	94	0
4	49	0
141	246	0
168	116	0
177	378	0
237	12	0
107	111	0
315	208	0
357	282	0
167	90	0
142	168	0
194	14	0
31	312	0
312	398	0
3	136	0
199	50	0
269	330	0
118	143	0
397	323	0
264	172	0
65	252	0
92	174	0
300	382	0
251	30	0
358	253	0
352	302	0
93	365	0
372	188	0
304	318	0
336	27	0
398	205	0
181	290	0
388	294	0
327	149	0
60	126	0
197	114	0
358	263	0
29	90	0
116	352	0
222	287	0
262	301	0
348	306	0
397	126	0
